Timestamp,Solar_Generation,Wind_Generation,Biogas_Generation,Total_Generation,Demand,Lagged_Demand_1,Lagged_Demand_24,Surplus_Deficit,Demand_Adjustment,Hour,DayOfWeek,Month
2023-01-02 00:00:00,0.0,39.70250334747631,18.072495148538337,57.774998496014646,85.32883336491693,60.75153692591423,62.64056869876558,-27.369066226482374,0.18476864241991464,0,0,1
2023-01-02 01:00:00,0.011153682125387055,63.581750307630315,19.243916578526616,82.83682056828232,90.7247297922111,85.14406472249702,61.97212107803744,-10.624815846577008,-2.7369066226482377,1,0,1
2023-01-02 02:00:00,0.03838124973678773,70.37655453397302,23.088738754533413,93.50367453824322,85.20328175666094,93.46163641485933,62.96354679194847,7.237911196924571,-1.0624815846577007,2,0,1
2023-01-02 03:00:00,0.09838497615714102,54.96246106021855,23.500188993442215,78.5610350298179,107.08167054755577,86.26576334131865,68.9446786421431,-27.79684439804541,0.7237911196924571,3,0,1
2023-01-02 04:00:00,0.15214948725066527,71.32824132967329,29.10548111066509,100.58587192758904,112.89010268321705,106.35787942786331,71.93772959277621,-15.083915195432553,-2.779684439804541,4,0,1
2023-01-02 05:00:00,0.23295383463426303,48.23079595433254,20.189541469316545,68.65329125828336,129.49120330338093,115.66978712302159,79.82255133832841,-62.346303564640834,-1.5083915195432553,5,0,1
2023-01-02 06:00:00,0.30426440112413594,24.881237588181975,23.524533234943956,48.71003522425006,115.54809443165819,130.9995948229242,86.67169751904588,-73.0726895638722,-6.234630356464084,6,0,1
2023-01-02 07:00:00,0.48302241587968586,53.120834181524685,20.32142685939936,73.92528345680373,114.16100484749381,121.78272478812227,92.11262806882789,-47.54299034707731,-7.307268956387221,7,0,1
2023-01-02 08:00:00,0.4849610180599631,61.29943849688715,22.10757739312454,83.89197690807165,134.8085419103447,121.46827380388103,106.38352533848035,-55.67086403698079,-4.7542990347077305,8,0,1
2023-01-02 09:00:00,0.4942100093570934,55.70795012202242,28.715495245975486,84.91765537735499,147.426004725367,139.56284094505244,108.57008596359756,-68.07543575171009,-5.567086403698079,9,0,1
